ID_REF	GSM3932557	GSM3932558	GSM3932559	GSM3932560	GSM3932561	GSM3932562
Blank	-3.321928095	-3.321928095	-3.321928095	-3.321928095	-3.321928095	-3.321928095
hur_1	11.59988644	12.10899156	13.02282133	11.59988644	11.45460073	12.10899156
hur_2	15.49673162	15.49673162	15.49673162	15.49673162	15.49673162	15.49673162
hur_4	11.30017041	11.59988644	11.96290894	12.10899156	11.96290894	11.7191412
hur_5	-3.321928095	-3.321928095	-3.321928095	-3.321928095	-3.321928095	-3.321928095
hur_6	10.33400417	10.33400417	10.42184286	10.5407932	10.16044164	10.5407932
miRNABrightCorner30	0.403473725	0.764042174	1.124610622	6.925175779	6.925175779	6.925175779
mmu-let-7a-1-3p	0.388067428	0.604051689	0.822263342	-0.701238273	-0.129890678	-1.272585868
mmu-let-7a-2-3p	-3.321928095	-3.321928095	-3.321928095	-3.321928095	-3.321928095	-3.321928095
mmu-let-7a-5p	10.79021328	10.90893753	10.90893753	10.90893753	11.36094513	10.61395069
mmu-let-7b-3p	0.37008262	0.586861983	0.478472302	3.152010227	3.168636054	3.1353844
mmu-let-7b-5p	11.11450976	11.45460073	11.30017041	11.36094513	11.7191412	10.90893753
mmu-let-7c-1-3p	-3.321928095	-3.321928095	-3.321928095	-3.321928095	-3.321928095	-3.321928095
mmu-let-7c-5p	11.21727488	11.7191412	12.10899156	11.96290894	12.10899156	11.36094513
mmu-let-7d-3p	0.34726942	0.568899631	0.763231449	0.37008262	0.297104515	0.333593568
mmu-let-7d-5p	9.66333543	9.977491554	10.10484546	10.16044164	9.977491554	9.381688506
mmu-let-7e-3p	0.3383617	0.550514008	0.740494497	-1.135731265	-1.063850204	-1.207612325
mmu-let-7e-5p	9.280430515	9.455150949	9.534311095	9.455150949	9.381688506	9.237384528
mmu-let-7f-1-3p	1.774480844	0.531520265	0.722367308	1.158427851	3.022897736	3.030928948
mmu-let-7f-2-3p	-3.321928095	-3.321928095	-3.321928095	-3.321928095	-3.321928095	-3.321928095
mmu-let-7f-5p	9.749597152	10.16044164	10.33400417	10.33400417	10.61395069	10.16044164
mmu-let-7g-3p	-3.321928095	-3.321928095	-3.321928095	-3.321928095	-3.321928095	-3.321928095
mmu-let-7g-5p	9.887649219	10.27167132	10.61395069	10.42184286	10.27167132	9.534311095
mmu-let-7i-3p	-3.321928095	-3.321928095	-3.321928095	-3.321928095	-3.321928095	-3.321928095
mmu-let-7i-5p	9.455150949	10.03633393	10.16044164	10.03633393	10.03633393	9.455150949
mmu-let-7j	-3.321928095	-3.321928095	-3.321928095	-3.321928095	-3.321928095	-3.321928095
mmu-let-7k	0.28527147	0.672242361	1.366937774	-0.622628747	-0.087534745	-1.157722748
mmu-miR-100-3p	-3.321928095	-3.321928095	-3.321928095	-3.321928095	-3.321928095	-3.321928095
mmu-miR-100-5p	6.058817721	6.437551921	6.65258412	6.568625437	6.143741368	5.452458935
mmu-miR-101a-3p	4.982111975	5.467994969	5.928273628	5.58407999	5.654300182	4.684348148
mmu-miR-101a-5p	-3.321928095	-3.321928095	-3.321928095	-3.321928095	-3.321928095	-3.321928095
mmu-miR-101b-3p	0.574942127	0.698762669	1.69805086	-0.076971533	-0.100492047	-1.142860791
mmu-miR-101b-5p	-3.321928095	-3.321928095	-3.321928095	-3.321928095	-3.321928095	-3.321928095
mmu-miR-101c	3.567443702	4.647941212	5.225915549	4.46706912	4.798209114	3.710821474
mmu-miR-103-1-5p	-3.321928095	-3.321928095	-3.321928095	-3.321928095	-3.321928095	-3.321928095
mmu-miR-103-3p	8.887455732	9.280430515	9.237384528	9.338155975	9.534311095	9.142759003
mmu-miR-105	-3.321928095	-3.321928095	-3.321928095	-3.321928095	-3.321928095	-3.321928095
mmu-miR-106a-3p	-3.321928095	-3.321928095	-3.321928095	-3.321928095	-3.321928095	-3.321928095
mmu-miR-106b-3p	-3.321928095	-3.321928095	-3.321928095	-3.321928095	-3.321928095	-3.321928095
mmu-miR-106b-5p	3.860510908	4.44394457	5.31997034	4.90801181	4.635148085	3.682258967
mmu-miR-107-3p	8.788758106	9.094211891	9.142759003	9.237384528	9.338155975	8.656572268
mmu-miR-107-5p	-3.321928095	-3.321928095	-3.321928095	-3.321928095	-3.321928095	-3.321928095
mmu-miR-10a-3p	-3.321928095	-3.321928095	-3.321928095	-3.321928095	-3.321928095	-3.321928095
mmu-miR-10a-5p	-3.321928095	-3.321928095	-3.321928095	-3.321928095	-3.321928095	-3.321928095
mmu-miR-10b-3p	-3.321928095	-3.321928095	-3.321928095	-3.321928095	-3.321928095	-3.321928095
mmu-miR-10b-5p	-3.321928095	-3.321928095	-3.321928095	-3.321928095	-3.321928095	-3.321928095
mmu-miR-1187	4.032739339	4.591879868	4.322524132	3.955128332	3.613095656	3.878682135
mmu-miR-1188-3p	0.624735848	0.830089162	1.774480844	-0.852587469	-0.034509966	-1.670664971
mmu-miR-1188-5p	0.612476485	0.822263342	1.391295041	-0.865842068	-0.056000209	-1.675683927
mmu-miR-1190	-3.321928095	-3.321928095	-3.321928095	-3.321928095	-3.321928095	-3.321928095
