id	logFC	AveExpr	t	P.Value	adj.P.Val	B
mmu-miR-153-5p	-1.58714612055556	-0.2606214225	-41.1144169629902	1.78306458316911e-06	0.00096481618278922	-24.7026594437821
mmu-miR-155-5p	-1.55078139166667	-0.265654965277778	-39.0916394433975	2.18750836748985e-06	0.00096481618278922	-24.9573268964316
mmu-miR-146a-5p	1.30947934388889	0.596775264166667	38.1823994044904	2.40634718314745e-06	0.00096481618278922	-25.0761009802661
mmu-miR-711	-4.31775642777778	-0.184416311111111	-38.0582170177654	2.43831518239581e-06	0.00096481618278922	-25.0925408664002
mmu-miR-181a-1-3p	-1.42716751277778	-0.302633289166667	-37.6604152139014	2.54434647360026e-06	0.00096481618278922	-25.1455652962531
mmu-miR-17-3p	-1.45971838444444	-0.292768748333333	-34.9958665446506	3.42491971089851e-06	0.00108227462864393	-25.5157724505998
mmu-miR-7057-3p	-3.84309531277778	-0.319288701944444	-29.4448260279026	6.89013381065423e-06	0.00143804611924472	-26.386359339009
mmu-miR-30c-1-3p	3.120311365	-0.950931430277778	28.747586680947	7.5913812518952e-06	0.00143804611924472	-26.5070557657722
mmu-miR-7075-5p	-3.39377038611111	-0.588121476388889	-28.1227158612685	8.29687334489054e-06	0.00143804611924472	-26.6177137735412
mmu-let-7b-3p	2.56970792388889	1.81900461194444	27.988735791195	8.45863068533021e-06	0.00143804611924472	-26.6417569313554
mmu-miR-344d-3p	4.20013748833333	-0.643044479722222	27.8195488900558	8.66854575179903e-06	0.00143804611924472	-26.6722813275896
mmu-miR-324-3p	4.46671467222222	-0.96226944	27.002068946906	9.77930188406679e-06	0.00143804611924472	-26.822406144078
miRNABrightCorner30	6.04433815055556	3.89376891416667	26.9472085869894	9.86002085980028e-06	0.00143804611924472	-26.8326412647003
mmu-miR-7025-5p	4.47914324111111	-0.472128705	26.2505799053064	1.09609221390078e-05	0.00148442202682562	-26.9644314668953
mmu-miR-7047-3p	5.29421828833333	-0.309004494166667	24.0413758499516	1.56333598962643e-05	0.00197605669088781	-27.406474604362
mmu-miR-143-3p	3.95652433666667	1.39619076888889	23.5690552367875	1.6936965578697e-05	0.0020070304210756	-27.50617212526
mmu-miR-1947-3p	2.02038086277778	2.13580670305556	21.333951090438	2.53143083094501e-05	0.00272440650292093	-28.006344023691
mmu-miR-378b	3.48712517444445	0.62986926	20.778972992739	2.81511913786157e-05	0.00272440650292093	-28.1385228143364
mmu-miR-6980-3p	4.44182657	-0.515095409444445	20.7101132424002	2.85302074676147e-05	0.00272440650292093	-28.1551642147168
mmu-miR-6240	4.71467147555556	0.358046426666667	20.6727596559737	2.87384652206849e-05	0.00272440650292093	-28.1642142199694
mmu-miR-28a-5p	-4.55940026722222	-0.286395321944444	-19.7913276108698	3.42510969963547e-05	0.00295182181386766	-28.3825546344108
mmu-miR-710	-4.01202587722222	-0.331663233611111	-19.518753502114	3.62175165660326e-05	0.00298558310474773	-28.4520063346023
mmu-miR-28c	-4.55619551222222	-0.289824611666667	-19.0141213342039	4.02433618822583e-05	0.00317922558869841	-28.5831292527575
mmu-miR-6988-5p	6.54623884444445	0.461408628333333	18.4246531156445	4.56772442690923e-05	0.0032836960587615	-28.7406746119418
mmu-miR-3058-3p	6.18800398055556	0.391579765277778	18.3174525246273	4.67614945076796e-05	0.0032836960587615	-28.7698540469345
mmu-miR-24-2-5p	-4.30893972166667	-0.416867714722222	-17.7435909709109	5.31425420821405e-05	0.00359850927813352	-28.9289462956627
mmu-miR-3102-3p.2-3p	5.12058551388889	-0.486452425833333	17.399609625762	5.74899068707209e-05	0.0037586504629961	-29.0267305432344
mmu-miR-3061-5p	4.204510635	-0.554169456388889	16.4306446354127	7.23531806593176e-05	0.00457272101766887	-29.3126409091504
mmu-miR-376c-3p	-1.79773372555556	2.16032158	-16.0154419222672	8.01717517007718e-05	0.00490340778144075	-29.4401987122889
mmu-miR-669n	3.31353645166667	0.597843325277778	14.8706788540775	0.00010788817445173	0.00639237433626502	-29.809209575827
mmu-miR-7052-3p	3.56770588277778	-0.767369430833333	14.3936490320756	0.000122907261416629	0.00670552131693761	-29.9711364283207
mmu-miR-452-5p	5.20316475444444	1.53417961777778	14.3874258691478	0.000123119804414676	0.00670552131693761	-29.9732828125736
mmu-miR-33-5p	3.8712263	-1.25498624833333	14.3680828756056	0.000123783357643891	0.00670552131693761	-29.9799599626638
mmu-miR-6407	6.13936176833334	1.62479756083333	13.6412671093603	0.000152283428534444	0.00762023599474945	-30.2373229323769
mmu-miR-3076-5p	4.59382775055556	-0.404935054166667	13.6313388853338	0.000152726248839915	0.00762023599474945	-30.2409287173256
mmu-miR-362-3p	4.24713891166667	0.686442003611111	13.1434536409029	0.000176603397089723	0.00858564207390036	-30.4212890766174
mmu-miR-7045-3p	3.732331325	-1.06694475361111	13.0008310831852	0.000184444916184211	0.00874268902713159	-30.4752218213351
mmu-miR-5110	4.56979620944444	1.37763129861111	12.6583479042175	0.000205115553541884	0.00948534364671738	-30.6070693184144
mmu-miR-5620-3p	3.90797134055556	0.437778249722222	12.5774405075987	0.000210412457593197	0.00949861951420716	-30.6387118817005
mmu-miR-6923-3p	4.38940710277778	-0.587691620277778	12.0880049762828	0.000246345780916199	0.0107698761946733	-30.8343485633209
mmu-miR-346-5p	-1.21162659166667	1.45195504805556	-12.0440404583658	0.000249933835741363	0.0107698761946733	-30.8522875596871
mmu-miR-7653-5p	-2.32161422611111	-0.385691565833333	-11.9547018065011	0.000257426913253434	0.010846253945078	-30.8889322399072
mmu-miR-6915-5p	5.67580904666667	0.202641503888889	11.2166360487762	0.000331339963146779	0.013656968915789	-31.2019457282577
mmu-let-7e-3p	-1.74721697277778	-0.275559100277778	-10.8574104059535	0.000376814671196008	0.0147481345421958	-31.3613549830127
mmu-miR-3093-3p	5.12471092722222	0.0561797291666667	10.8416569516994	0.000378980641537123	0.0147481345421958	-31.368457994412
mmu-miR-376a-5p	-1.78094147	1.74859526444444	-10.8259971582919	0.000381149046712867	0.0147481345421958	-31.3755283278748
mmu-miR-7660-3p	-2.32054903277778	-0.510118080277778	-10.7598474951503	0.000390480196727247	0.0148070090598972	-31.4055002883428
mmu-miR-7056-5p	-3.97990014166667	-0.601080276944444	-10.6208727600114	0.000411024085067329	0.0152804248095619	-31.4690322239537
mmu-miR-6968-3p	4.17402316388889	0.262441796388889	10.5488344042644	0.000422200201731448	0.0152898894492579	-31.5022694945722
mmu-miR-7069-3p	-3.97352512333333	-0.287722372222222	-10.5160732492713	0.000427407247263012	0.0152898894492579	-31.5174547977218
mmu-miR-764-5p	-1.94006456388889	1.64749510805556	-10.3899924566134	0.000448203956384322	0.0157369389130495	-31.5763080730395
